epoch,layer,norm,mean,std
0,conv2d_1/W_0,10.898226,-0.005427025,0.1945355
0,batch_normalization_1/W_0,7.988911,0.9982455,0.027123071
0,batch_normalization_1/W_1,0.13699761,-0.0059588514,0.016054515
0,batch_normalization_1/W_2,2.3303194,-0.06270017,0.2844618
0,batch_normalization_1/W_3,1.028065,0.10321043,0.07656335
0,conv2d_2/W_0,11.115129,0.0016824197,0.05786685
0,batch_normalization_2/W_0,7.986434,0.99813515,0.018375149
0,batch_normalization_2/W_1,0.16523777,-0.009194666,0.018495286
0,batch_normalization_2/W_2,6.0985746,0.22215891,0.7292325
0,batch_normalization_2/W_3,15.985406,1.8256626,0.8121963
0,conv2d_3/W_0,11.083376,0.00030634104,0.05772511
0,batch_normalization_3/W_0,7.986853,0.99823064,0.015862128
0,batch_normalization_3/W_1,0.14199892,-0.0080646835,0.015811976
0,batch_normalization_3/W_2,8.198294,0.37029707,0.95554584
0,batch_normalization_3/W_3,26.483286,3.059991,1.2630424
0,conv2d_4/W_0,10.682227,0.0015162592,0.05561594
0,batch_normalization_4/W_0,8.013965,1.0016446,0.014221569
0,batch_normalization_4/W_1,0.12763304,-0.0047918283,0.015217511
0,batch_normalization_4/W_2,8.919908,0.2913481,1.0762508
0,batch_normalization_4/W_3,26.637745,3.0185623,1.4054554
0,conv2d_5/W_0,10.657799,-6.444102e-05,0.05550933
0,batch_normalization_5/W_0,7.9876394,0.9983673,0.013228961
0,batch_normalization_5/W_1,0.15406056,-0.009148644,0.016945686
0,batch_normalization_5/W_2,12.560559,0.35681027,1.5289884
0,batch_normalization_5/W_3,80.578094,8.487035,5.424085
0,conv2d_6/W_0,13.074669,0.0005816319,0.04814851
0,batch_normalization_6/W_0,11.343888,1.0025603,0.014666335
0,batch_normalization_6/W_1,0.17853484,-0.0060008923,0.014594872
0,batch_normalization_6/W_2,9.767523,0.0815227,0.85947764
0,batch_normalization_6/W_3,26.258543,2.1123087,0.9617467
0,conv2d_8/W_0,14.745031,-0.001957331,0.16289936
0,conv2d_7/W_0,12.579117,0.0007474051,0.032749593
0,batch_normalization_7/W_0,11.287371,0.9975642,0.014671276
0,batch_normalization_7/W_1,0.22043216,-0.010598408,0.016348878
