file_name,label,pred_label,pred_score
orca_orchive_bg-_00000_2003_138A_1400000_1403000.wav,noise,noise,0.0006579061349232992
orca_orchive_bg-_00000_1985_005A_0165000_0168000.wav,noise,noise,0.056879520416259766
orca_orchive_bg-_00000_2003_139B_1800000_1803000.wav,noise,noise,0.002347499132156372
orca_orchive_bg-_00000_2003_139B_1500000_1503000.wav,noise,noise,0.06207417448361714
orca_orchive_bg-_00000_2005_033B_0180000_0183000.wav,noise,noise,0.0024779637654622393
orca_orchive_bg-_00000_2009_005B_2310000_2313000.wav,noise,noise,0.14720603823661801
orca_orchive_bg-_00000_2009_011A_1920000_1923000.wav,noise,orca,0.697432259718577
orca_orchive_bg-_00000_1985_002B_2625000_2628000.wav,noise,noise,0.004609882831573486
orca_orchive_bg-_00000_1985_003A_1995000_1998000.wav,noise,orca,0.540468156337738
orca_orchive_bg-_00000_1985_002B_2475000_2478000.wav,noise,noise,0.1864996055761973
orca_orchive_bg-_00000_2003_139B_1400000_1403000.wav,noise,noise,0.050296892722447716
orca_orchive_bg-_00000_1987_001A_1860000_1863000.wav,noise,noise,0.0005477170149485271
orca_orchive_bg-_00000_2003_002B_2300000_2303000.wav,noise,noise,0.0021322568257649737
orca_orchive_bg-_00000_1985_003A_0690000_0693000.wav,noise,orca,0.8809068202972412
orca_orchive_bg-_00000_2009_011A_0420000_0423000.wav,noise,noise,0.07844777901967366
orca_orchive_bg-_00000_1985_002B_2715000_2718000.wav,noise,noise,0.06540530920028687
orca_orchive_bg-_00000_1985_005A_0810000_0813000.wav,noise,noise,0.017119059960047405
orca_orchive_bg-_00000_1985_003A_0750000_0753000.wav,noise,noise,0.016370862722396854
orca_orchive_bg-_00000_2009_015A_0690000_0693000.wav,noise,noise,0.014166851838429768
orca_orchive_bg-_00000_2009_011A_0210000_0213000.wav,noise,noise,0.005462735891342163
orca_orchive_bg-_00000_2003_139B_0400000_0403000.wav,noise,noise,0.004002640644709269
orca_orchive_bg-_00000_1985_002B_1275000_1278000.wav,noise,noise,0.0010098814964294434
orca_orchive_bg-_00000_2009_002A_1530000_1533000.wav,noise,noise,0.09803061683972676
orca_orchive_bg-_00000_1985_003A_0990000_0993000.wav,noise,noise,0.003348648548126221
orca_orchive_bg-_00000_2005_034B_0840000_0843000.wav,noise,noise,0.0013471941153208415
orca_orchive_bg-_00000_2003_138A_1000000_1003000.wav,noise,noise,0.0002265771230061849
orca_orchive_bg-_00000_2003_139B_2000000_2003000.wav,noise,noise,0.0007622241973876953
orca_orchive_bg-_00000_1986_002B_1380000_1383000.wav,noise,noise,0.0010867218176523845
orca_orchive_bg-_00000_1985_003A_1200000_1203000.wav,noise,noise,0.0077721575895945225
orca_orchive_bg-_00000_1985_005A_0210000_0213000.wav,noise,noise,0.00032160679499308265
orca_orchive_bg-_00000_2005_033B_0420000_0423000.wav,noise,noise,0.00034795204798380536
orca_orchive_bg-_00000_1985_002B_2775000_2778000.wav,noise,noise,0.0019004245599110923
orca_orchive_bg-_00000_2005_033B_0480000_0483000.wav,noise,noise,0.0028770764668782554
orca_orchive_bg-_00000_1987_001A_0840000_0843000.wav,noise,noise,0.00047530730565389
orca_orchive_bg-_00000_2009_011A_1950000_1953000.wav,noise,noise,0.06435613830884297
orca_orchive_bg-_00000_1987_001A_0225000_0228000.wav,noise,noise,0.0018845895926157632
orca_orchive_bg-_00000_2005_033B_2370000_2373000.wav,noise,noise,0.0012715558211008708
