epoch,layer,norm,mean,std
11,batch_normalization_1/W_2,0.33932576,0.33932576,0.0
11,batch_normalization_1/W_3,0.0574994,0.0574994,0.0
11,conv2d_1/W_0,2.1879344,0.0026555015,0.18230852
11,conv2d_1/W_1,1.1332735,-0.03499953,0.2811482
11,dense_1/W_0,2.338308,-0.114722654,0.5732094
11,dense_1/W_1,0.35644227,-0.35644227,0.0
12,batch_normalization_1/W_0,1.471439,1.471439,0.0
12,batch_normalization_1/W_1,0.7353425,-0.7353425,0.0
12,batch_normalization_1/W_2,0.33964056,0.33964056,0.0
12,batch_normalization_1/W_3,0.05762278,0.05762278,0.0
12,conv2d_1/W_0,2.210752,0.004988363,0.18416178
12,conv2d_1/W_1,1.1567242,-0.047772843,0.2852077
12,dense_1/W_0,2.3632379,-0.11482912,0.579543
12,dense_1/W_1,0.36618018,-0.36618018,0.0
13,batch_normalization_1/W_0,1.4844267,1.4844267,0.0
13,batch_normalization_1/W_1,0.7678217,-0.7678217,0.0
13,batch_normalization_1/W_2,0.33783874,0.33783874,0.0
13,batch_normalization_1/W_3,0.0579014,0.0579014,0.0
13,conv2d_1/W_0,2.2457967,0.0043449732,0.1870993
13,conv2d_1/W_1,1.1650289,-0.05943566,0.28512836
13,dense_1/W_0,2.3869689,-0.11316952,0.5859129
13,dense_1/W_1,0.37536183,-0.37536183,0.0
14,batch_normalization_1/W_0,1.4868649,1.4868649,0.0
14,batch_normalization_1/W_1,0.7868497,-0.7868497,0.0
14,batch_normalization_1/W_2,0.34050518,0.34050518,0.0
14,batch_normalization_1/W_3,0.05672369,0.05672369,0.0
14,conv2d_1/W_0,2.2577028,0.0039492818,0.18810044
14,conv2d_1/W_1,1.1915528,-0.069673404,0.28962559
14,dense_1/W_0,2.4064467,-0.11303121,0.5908981
14,dense_1/W_1,0.39318463,-0.39318463,0.0
15,batch_normalization_1/W_0,1.489793,1.489793,0.0
15,batch_normalization_1/W_1,0.81091714,-0.81091714,0.0
15,batch_normalization_1/W_2,0.3387149,0.3387149,0.0
15,batch_normalization_1/W_3,0.057561327,0.057561327,0.0
15,conv2d_1/W_0,2.2797632,0.0052728425,0.18990707
15,conv2d_1/W_1,1.1953404,-0.081333056,0.2875541
15,dense_1/W_0,2.4176657,-0.11136864,0.5940675
15,dense_1/W_1,0.4028971,-0.4028971,0.0
16,batch_normalization_1/W_0,1.5088913,1.5088913,0.0
16,batch_normalization_1/W_1,0.821744,-0.821744,0.0
16,batch_normalization_1/W_2,0.34000716,0.34000716,0.0
